"Step","non_det_DDQN_9_100k - total_reward","non_det_DDQN_9_100k - total_reward__MIN","non_det_DDQN_9_100k - total_reward__MAX"
"5459","2","2","2"
"5466","-2","-2","-2"
"5476","0","0","0"
"5522","-2","-2","-2"
"5524","0","0","0"
"5536","-1","-1","-1"
"5537","0","0","0"
"5563","-2","-2","-2"
"5565","-2","-2","-2"
"5572","-2","-2","-2"
"5578","5","5","5"
"5588","-1","-1","-1"
"5590","-2","-2","-2"
"5604","-1","-1","-1"
"5609","-1","-1","-1"
"5618","-1","-1","-1"
"5621","-1","-1","-1"
"5631","-2","-2","-2"
"5633","-2","-2","-2"
"5652","-1","-1","-1"
"5678","0","0","0"
"5679","-2","-2","-2"
"5712","1","1","1"
"5722","-2","-2","-2"
"5723","1","1","1"
"5738","-1","-1","-1"
"5788","1","1","1"
"5791","0","0","0"
"5801","2","2","2"
"5838","-2","-2","-2"
"5849","-1","-1","-1"
"5878","0","0","0"
"5882","-2","-2","-2"
"5890","5","5","5"
"5891","-2","-2","-2"
"5894","-1","-1","-1"
"5921","-2","-2","-2"
"5923","-1","-1","-1"
"5930","-1","-1","-1"
"5944","-1","-1","-1"
"5947","0","0","0"
"5955","-2","-2","-2"
"5960","-1","-1","-1"
"5961","-1","-1","-1"
"5977","-1","-1","-1"
"5982","-2","-2","-2"
"5986","-2","-2","-2"
"5988","-2","-2","-2"
"5991","1","1","1"
"6000","-1","-1","-1"
"6005","-2","-2","-2"
"6012","2","2","2"
"6016","0","0","0"
"6034","1","1","1"
"6048","-2","-2","-2"
"6063","-1","-1","-1"
"6068","-1","-1","-1"
"6072","-1","-1","-1"
"6080","-1","-1","-1"
"6119","0","0","0"
"6122","2","2","2"
"6150","-1","-1","-1"
"6159","-2","-2","-2"
"6172","-1","-1","-1"
"6184","2","2","2"
"6188","-2","-2","-2"
"6202","-2","-2","-2"
"6205","-1","-1","-1"
"6206","-2","-2","-2"
"6218","0","0","0"
"6248","-2","-2","-2"
"6256","-1","-1","-1"
"6262","-2","-2","-2"
"6269","-2","-2","-2"
"6286","-2","-2","-2"
"6300","-2","-2","-2"
"6310","-2","-2","-2"
"6313","-2","-2","-2"
"6322","-1","-1","-1"
"6340","-2","-2","-2"
"6355","-2","-2","-2"
"6361","-1","-1","-1"
"6364","0","0","0"
"6385","-2","-2","-2"
"6422","1","1","1"
"6428","-2","-2","-2"
"6431","-2","-2","-2"
"6434","0","0","0"
"6454","0","0","0"
"6455","-2","-2","-2"
"6469","-1","-1","-1"
"6479","-1","-1","-1"
"6482","-1","-1","-1"
"6493","-2","-2","-2"
"6500","0","0","0"
"6517","0","0","0"
"6521","-2","-2","-2"
"6528","-2","-2","-2"
"6561","-1","-1","-1"
"6576","-2","-2","-2"
"6581","0","0","0"
"6586","1","1","1"
"6603","-2","-2","-2"
"6608","-2","-2","-2"
"6620","-1","-1","-1"
"6634","-2","-2","-2"
"6641","-2","-2","-2"
"6650","-1","-1","-1"
"6652","0","0","0"
"6660","-1","-1","-1"
"6685","-1","-1","-1"
"6700","-1","-1","-1"
"6710","-2","-2","-2"
"6718","3","3","3"
"6720","1","1","1"
"6743","-2","-2","-2"
"6746","1","1","1"
"6749","-2","-2","-2"
"6764","-1","-1","-1"
"6766","0","0","0"
"6777","-2","-2","-2"
"6789","-2","-2","-2"
"6795","-2","-2","-2"
"6799","-1","-1","-1"
"6800","-2","-2","-2"
"6801","-2","-2","-2"
"6807","-2","-2","-2"
"6808","-2","-2","-2"
"6834","-2","-2","-2"
"6844","-2","-2","-2"
"6847","-2","-2","-2"
"6850","-2","-2","-2"
"6856","4","4","4"
"6865","-2","-2","-2"
"6868","-1","-1","-1"
"6882","-2","-2","-2"
"6924","7","7","7"
"6928","-2","-2","-2"
"6938","-2","-2","-2"
"6942","-2","-2","-2"
"6983","1","1","1"
"6984","-2","-2","-2"
"6986","-2","-2","-2"
"7004","-1","-1","-1"
"7009","0","0","0"
"7014","0","0","0"
"7017","-2","-2","-2"
"7031","-2","-2","-2"
"7036","0","0","0"
"7044","-2","-2","-2"
"7045","-2","-2","-2"
"7047","-1","-1","-1"
"7048","-2","-2","-2"
"7059","-1","-1","-1"
"7089","-1","-1","-1"
"7090","-2","-2","-2"
"7120","-1","-1","-1"
"7121","1","1","1"
"7127","4","4","4"
"7130","-2","-2","-2"
"7134","-2","-2","-2"
"7139","1","1","1"
"7143","-2","-2","-2"
"7144","-2","-2","-2"
"7147","-2","-2","-2"
"7164","-2","-2","-2"
"7167","-2","-2","-2"
"7171","-1","-1","-1"
"7186","-2","-2","-2"
"7187","0","0","0"
"7196","-2","-2","-2"
"7200","3","3","3"
"7215","-1","-1","-1"
"7228","-1","-1","-1"
"7229","0","0","0"
"7243","-1","-1","-1"
"7259","0","0","0"
"7285","1","1","1"
"7306","-1","-1","-1"
"7315","-2","-2","-2"
"7328","2","2","2"
"7332","-2","-2","-2"
"7342","-2","-2","-2"
"7349","0","0","0"
"7352","-1","-1","-1"
"7356","-2","-2","-2"
"7371","5","5","5"
"7385","0","0","0"
"7390","1","1","1"
"7404","0","0","0"
"7415","-1","-1","-1"
"7416","-2","-2","-2"
"7430","-2","-2","-2"
"7440","0","0","0"
"7451","-2","-2","-2"
"7461","-2","-2","-2"
"7477","0","0","0"
"7483","2","2","2"
"7501","0","0","0"
"7502","-1","-1","-1"
"7509","-2","-2","-2"
"7520","-2","-2","-2"
"7537","1","1","1"
"7548","-2","-2","-2"
"7554","5","5","5"
"7561","0","0","0"
"7565","-1","-1","-1"
"7582","1","1","1"
"7588","-2","-2","-2"
"7590","-2","-2","-2"
"7591","-1","-1","-1"
"7612","-1","-1","-1"
"7616","-2","-2","-2"
"7619","-1","-1","-1"
"7643","3","3","3"
"7646","-2","-2","-2"
"7653","-1","-1","-1"
"7679","-2","-2","-2"
"7683","-2","-2","-2"
"7692","1","1","1"
"7697","-2","-2","-2"
"7700","1","1","1"
"7707","-2","-2","-2"
"7708","-1","-1","-1"
"7724","-1","-1","-1"
"7731","0","0","0"
"7742","-1","-1","-1"
"7757","-2","-2","-2"
"7760","2","2","2"
"7795","0","0","0"
"7820","-2","-2","-2"
"7822","-2","-2","-2"
"7834","2","2","2"
"7846","-2","-2","-2"
"7849","-1","-1","-1"
"7895","-1","-1","-1"
"7896","-1","-1","-1"
"7909","-2","-2","-2"
"7921","-1","-1","-1"
"7927","-2","-2","-2"
"7933","0","0","0"
"7951","-2","-2","-2"
"7955","1","1","1"
"7961","-2","-2","-2"
"7967","-2","-2","-2"
"7977","1","1","1"
"7984","-1","-1","-1"
"7989","0","0","0"
"8001","0","0","0"
"8034","-2","-2","-2"
"8041","-2","-2","-2"
"8053","-2","-2","-2"
"8077","-2","-2","-2"
"8078","4","4","4"
"8083","0","0","0"
"8089","-1","-1","-1"
"8092","-1","-1","-1"
"8101","-1","-1","-1"
"8113","-1","-1","-1"
"8116","0","0","0"
"8131","0","0","0"
"8136","-2","-2","-2"
"8138","4","4","4"
"8139","-1","-1","-1"
"8154","-1","-1","-1"
"8156","0","0","0"
"8162","-2","-2","-2"
"8171","1","1","1"
"8172","-2","-2","-2"
"8192","-2","-2","-2"
"8207","-2","-2","-2"
"8224","-1","-1","-1"
"8228","-2","-2","-2"
"8233","-1","-1","-1"
"8243","-2","-2","-2"
"8245","-2","-2","-2"
"8264","-2","-2","-2"
"8267","-2","-2","-2"
"8270","0","0","0"
"8279","4","4","4"
"8291","1","1","1"
"8315","-2","-2","-2"
"8342","-2","-2","-2"
"8351","2","2","2"
"8359","-2","-2","-2"
"8392","-2","-2","-2"
"8425","-1","-1","-1"
"8431","-1","-1","-1"
"8438","-2","-2","-2"
"8445","-2","-2","-2"
"8448","-2","-2","-2"
"8449","-2","-2","-2"
"8450","3","3","3"
"8452","-2","-2","-2"
"8457","-2","-2","-2"
"8473","3","3","3"
"8483","1","1","1"
"8489","-2","-2","-2"
"8520","2","2","2"
"8521","-2","-2","-2"
"8535","-2","-2","-2"
"8537","5","5","5"
"8544","-1","-1","-1"
"8545","-2","-2","-2"
"8556","3","3","3"
"8563","4","4","4"
"8576","-2","-2","-2"
"8589","9","9","9"
"8594","0","0","0"
"8595","-2","-2","-2"
"8599","-2","-2","-2"
"8611","1","1","1"
"8634","0","0","0"
"8657","-1","-1","-1"
"8660","-1","-1","-1"
"8665","-1","-1","-1"
"8697","-1","-1","-1"
"8702","-2","-2","-2"
"8716","2","2","2"
"8739","-2","-2","-2"
"8743","1","1","1"
"8745","6","6","6"
"8749","-1","-1","-1"
"8778","2","2","2"
"8784","-2","-2","-2"
"8790","-2","-2","-2"
"8792","-1","-1","-1"
"8795","-2","-2","-2"
"8798","-1","-1","-1"
"8799","-1","-1","-1"
"8813","-2","-2","-2"
"8817","-1","-1","-1"
"8819","-2","-2","-2"
"8839","-2","-2","-2"
"8840","-2","-2","-2"
"8852","0","0","0"
"8858","3","3","3"
"8859","-2","-2","-2"
"8867","2","2","2"
"8869","-2","-2","-2"
"8878","0","0","0"
"8882","0","0","0"
"8891","1","1","1"
"8912","-2","-2","-2"
"8928","-2","-2","-2"
"8931","0","0","0"
"8937","-2","-2","-2"
