"Step","non_det_DDQN_9_100k - win","non_det_DDQN_9_100k - win__MIN","non_det_DDQN_9_100k - win__MAX"
"6230","0","0","0"
"6240","0","0","0"
"6250","0","0","0"
"6258","0","0","0"
"6267","0","0","0"
"6275","0","0","0"
"6280","0","0","0"
"6291","0","0","0"
"6292","0","0","0"
"6302","0","0","0"
"6305","0","0","0"
"6312","0","0","0"
"6316","0","0","0"
"6327","0","0","0"
"6340","0","0","0"
"6342","0","0","0"
"6352","0","0","0"
"6373","0","0","0"
"6385","0","0","0"
"6395","0","0","0"
"6421","0","0","0"
"6432","0","0","0"
"6441","0","0","0"
"6448","0","0","0"
"6451","0","0","0"
"6458","0","0","0"
"6462","0","0","0"
"6473","0","0","0"
"6501","0","0","0"
"6506","0","0","0"
"6512","0","0","0"
"6524","0","0","0"
"6541","0","0","0"
"6548","0","0","0"
"6561","0","0","0"
"6576","0","0","0"
"6578","0","0","0"
"6581","0","0","0"
"6584","0","0","0"
"6587","0","0","0"
"6593","0","0","0"
"6598","0","0","0"
"6600","0","0","0"
"6630","0","0","0"
"6635","0","0","0"
"6642","0","0","0"
"6643","0","0","0"
"6649","0","0","0"
"6685","0","0","0"
"6686","0","0","0"
"6689","0","0","0"
"6701","0","0","0"
"6703","0","0","0"
"6711","0","0","0"
"6731","0","0","0"
"6748","0","0","0"
"6776","0","0","0"
"6795","0","0","0"
"6798","0","0","0"
"6823","0","0","0"
"6831","0","0","0"
"6833","0","0","0"
"6838","0","0","0"
"6842","0","0","0"
"6848","0","0","0"
"6859","0","0","0"
"6905","0","0","0"
"6921","0","0","0"
"6937","0","0","0"
"6948","0","0","0"
"6956","0","0","0"
"6963","0","0","0"
"6980","0","0","0"
"6983","0","0","0"
"7006","0","0","0"
"7011","0","0","0"
"7016","0","0","0"
"7018","0","0","0"
"7032","0","0","0"
"7043","0","0","0"
"7060","0","0","0"
"7064","0","0","0"
"7074","0","0","0"
"7082","0","0","0"
"7089","0","0","0"
"7102","0","0","0"
"7103","0","0","0"
"7106","0","0","0"
"7109","0","0","0"
"7122","0","0","0"
"7135","0","0","0"
"7137","0","0","0"
"7143","0","0","0"
"7169","0","0","0"
"7175","0","0","0"
"7194","0","0","0"
"7210","0","0","0"
"7213","0","0","0"
"7228","0","0","0"
"7231","0","0","0"
"7242","0","0","0"
"7269","0","0","0"
"7275","0","0","0"
"7276","0","0","0"
"7291","0","0","0"
"7295","0","0","0"
"7305","0","0","0"
"7308","0","0","0"
"7313","0","0","0"
"7319","0","0","0"
"7320","0","0","0"
"7328","0","0","0"
"7336","0","0","0"
"7340","0","0","0"
"7361","0","0","0"
"7365","0","0","0"
"7377","0","0","0"
"7417","0","0","0"
"7428","0","0","0"
"7430","0","0","0"
"7441","0","0","0"
"7445","0","0","0"
"7466","0","0","0"
"7470","0","0","0"
"7474","0","0","0"
"7480","0","0","0"
"7488","0","0","0"
"7495","0","0","0"
"7508","0","0","0"
"7509","0","0","0"
"7512","0","0","0"
"7516","0","0","0"
"7518","0","0","0"
"7519","0","0","0"
"7532","0","0","0"
"7540","0","0","0"
"7562","0","0","0"
"7567","0","0","0"
"7570","0","0","0"
"7575","0","0","0"
"7576","0","0","0"
"7594","0","0","0"
"7606","0","0","0"
"7616","0","0","0"
"7630","0","0","0"
"7639","0","0","0"
"7655","0","0","0"
"7658","0","0","0"
"7669","0","0","0"
"7690","0","0","0"
"7699","0","0","0"
"7729","0","0","0"
"7735","0","0","0"
"7753","0","0","0"
"7788","0","0","0"
"7814","0","0","0"
"7821","0","0","0"
"7823","0","0","0"
"7854","0","0","0"
"7864","0","0","0"
"7870","0","0","0"
"7879","0","0","0"
"7882","0","0","0"
"7883","0","0","0"
"7888","0","0","0"
"7897","0","0","0"
"7922","0","0","0"
"7926","0","0","0"
"7939","0","0","0"
"7946","0","0","0"
"7951","0","0","0"
"7993","0","0","0"
"7998","0","0","0"
"8017","0","0","0"
"8037","0","0","0"
"8040","0","0","0"
"8056","0","0","0"
"8086","0","0","0"
"8113","0","0","0"
"8119","0","0","0"
"8123","0","0","0"
"8131","0","0","0"
"8162","0","0","0"
"8176","0","0","0"
"8181","0","0","0"
"8188","0","0","0"
"8193","0","0","0"
"8199","0","0","0"
"8204","0","0","0"
"8222","0","0","0"
"8228","0","0","0"
"8233","0","0","0"
"8244","0","0","0"
"8283","0","0","0"
"8303","0","0","0"
"8308","0","0","0"
"8316","0","0","0"
"8319","0","0","0"
"8325","0","0","0"
"8348","0","0","0"
"8362","0","0","0"
"8397","0","0","0"
"8404","0","0","0"
"8410","0","0","0"
"8414","0","0","0"
"8431","0","0","0"
"8446","0","0","0"
"8448","0","0","0"
"8470","0","0","0"
"8475","0","0","0"
"8476","0","0","0"
"8493","0","0","0"
"8510","0","0","0"
"8514","0","0","0"
"8524","0","0","0"
"8538","0","0","0"
"8553","0","0","0"
"8575","0","0","0"
"8576","0","0","0"
"8592","0","0","0"
"8606","0","0","0"
"8618","0","0","0"
"8622","0","0","0"
"8623","0","0","0"
"8627","0","0","0"
"8634","0","0","0"
"8655","0","0","0"
"8656","0","0","0"
"8662","0","0","0"
"8679","0","0","0"
"8693","0","0","0"
"8717","0","0","0"
"8719","0","0","0"
"8729","0","0","0"
"8740","0","0","0"
"8743","0","0","0"
"8746","0","0","0"
"8764","0","0","0"
"8769","0","0","0"
"8773","0","0","0"
"8783","0","0","0"
"8788","0","0","0"
"8797","0","0","0"
"8811","0","0","0"
"8814","0","0","0"
"8818","0","0","0"
"8823","0","0","0"
"8827","0","0","0"
"8871","0","0","0"
"8879","0","0","0"
"8883","0","0","0"
"8890","0","0","0"
"8899","0","0","0"
"8913","0","0","0"
"8914","0","0","0"
"8915","0","0","0"
"8934","0","0","0"
"8940","0","0","0"
"8959","0","0","0"
"8975","0","0","0"
"8982","0","0","0"
"8986","0","0","0"
"8993","0","0","0"
"8997","0","0","0"
"9006","0","0","0"
"9008","0","0","0"
"9020","0","0","0"
"9031","0","0","0"
"9059","0","0","0"
"9063","0","0","0"
"9068","0","0","0"
"9074","0","0","0"
"9076","0","0","0"
"9084","0","0","0"
"9116","0","0","0"
"9120","0","0","0"
"9123","0","0","0"
"9125","0","0","0"
"9126","0","0","0"
"9131","0","0","0"
"9147","0","0","0"
"9174","0","0","0"
"9214","0","0","0"
"9219","0","0","0"
"9234","0","0","0"
"9243","0","0","0"
"9253","0","0","0"
"9273","0","0","0"
"9274","0","0","0"
"9284","0","0","0"
"9289","0","0","0"
"9307","0","0","0"
"9308","0","0","0"
"9310","0","0","0"
"9314","0","0","0"
"9318","0","0","0"
"9333","0","0","0"
"9335","0","0","0"
"9339","0","0","0"
"9350","0","0","0"
"9359","0","0","0"
"9362","0","0","0"
"9364","0","0","0"
"9375","0","0","0"
"9392","0","0","0"
"9408","0","0","0"
"9420","0","0","0"
"9426","0","0","0"
"9438","0","0","0"
"9448","0","0","0"
"9473","0","0","0"
"9480","0","0","0"
"9490","0","0","0"
"9496","0","0","0"
"9501","0","0","0"
"9508","0","0","0"
"9514","0","0","0"
"9516","0","0","0"
"9522","0","0","0"
"9553","0","0","0"
"9570","0","0","0"
"9573","0","0","0"
"9574","0","0","0"
"9579","0","0","0"
"9604","0","0","0"
"9608","0","0","0"
"9609","0","0","0"
