"Step","DQN_run_1747564920 - total_reward","DQN_run_1747564920 - total_reward__MIN","DQN_run_1747564920 - total_reward__MAX"
"3925","-2","-2","-2"
"3943","-2","-2","-2"
"3947","1","1","1"
"3951","-1","-1","-1"
"3956","-2","-2","-2"
"3957","-2","-2","-2"
"3961","-2","-2","-2"
"3969","-3","-3","-3"
"3976","3","3","3"
"3981","0","0","0"
"3987","-3","-3","-3"
"3995","4","4","4"
"4007","-2","-2","-2"
"4011","2","2","2"
"4015","0","0","0"
"4017","-1","-1","-1"
"4018","-3","-3","-3"
"4019","1","1","1"
"4020","0","0","0"
"4024","0","0","0"
"4028","-2","-2","-2"
"4030","0","0","0"
"4051","0","0","0"
"4052","0","0","0"
"4056","0","0","0"
"4068","-2","-2","-2"
"4069","-1","-1","-1"
"4077","-1","-1","-1"
"4079","4","4","4"
"4081","0","0","0"
"4082","-2","-2","-2"
"4085","-3","-3","-3"
"4102","-1","-1","-1"
"4103","-3","-3","-3"
"4106","-2","-2","-2"
"4111","-1","-1","-1"
"4112","0","0","0"
"4115","3","3","3"
"4116","-3","-3","-3"
"4125","-2","-2","-2"
"4128","0","0","0"
"4131","-2","-2","-2"
"4132","0","0","0"
"4133","-1","-1","-1"
"4135","-1","-1","-1"
"4136","0","0","0"
"4158","3","3","3"
"4160","-2","-2","-2"
"4162","7","7","7"
"4164","-3","-3","-3"
"4165","-3","-3","-3"
"4169","-2","-2","-2"
"4170","-2","-2","-2"
"4171","-1","-1","-1"
"4174","-1","-1","-1"
"4178","-3","-3","-3"
"4188","0","0","0"
"4190","3","3","3"
"4193","-2","-2","-2"
"4197","-1","-1","-1"
"4199","3","3","3"
"4205","-1","-1","-1"
"4209","-3","-3","-3"
"4213","-2","-2","-2"
"4215","-3","-3","-3"
"4216","-2","-2","-2"
"4218","0","0","0"
"4222","-2","-2","-2"
"4224","-2","-2","-2"
"4232","-2","-2","-2"
"4233","-1","-1","-1"
"4234","9","9","9"
"4240","1","1","1"
"4241","-3","-3","-3"
"4243","1","1","1"
"4246","-2","-2","-2"
"4256","-2","-2","-2"
"4258","-1","-1","-1"
"4259","-3","-3","-3"
"4267","-3","-3","-3"
"4275","1","1","1"
"4276","0","0","0"
"4288","-3","-3","-3"
"4289","-1","-1","-1"
"4294","0","0","0"
"4298","-2","-2","-2"
"4303","-1","-1","-1"
"4307","2","2","2"
"4313","-2","-2","-2"
"4317","0","0","0"
"4323","-3","-3","-3"
"4331","-2","-2","-2"
"4335","-2","-2","-2"
"4342","-1","-1","-1"
"4358","-3","-3","-3"
"4364","6","6","6"
"4369","-2","-2","-2"
"4371","-3","-3","-3"
"4372","1","1","1"
"4374","-2","-2","-2"
"4376","-3","-3","-3"
"4383","-2","-2","-2"
"4386","5","5","5"
"4387","-3","-3","-3"
"4391","0","0","0"
"4397","-2","-2","-2"
"4399","-1","-1","-1"
"4403","0","0","0"
"4406","3","3","3"
"4408","-1","-1","-1"
"4410","-2","-2","-2"
"4412","0","0","0"
"4413","-2","-2","-2"
"4415","-2","-2","-2"
"4421","-3","-3","-3"
"4426","1","1","1"
"4439","-2","-2","-2"
"4443","-2","-2","-2"
"4446","-2","-2","-2"
"4447","1","1","1"
"4448","-3","-3","-3"
"4456","1","1","1"
"4459","-3","-3","-3"
"4463","1","1","1"
"4464","5","5","5"
"4465","-2","-2","-2"
"4469","-2","-2","-2"
"4472","3","3","3"
"4475","1","1","1"
"4480","-1","-1","-1"
"4486","-1","-1","-1"
"4487","-3","-3","-3"
"4493","-2","-2","-2"
"4494","7","7","7"
"4506","4","4","4"
"4510","-3","-3","-3"
"4512","-2","-2","-2"
"4513","-1","-1","-1"
"4521","-1","-1","-1"
"4524","-2","-2","-2"
"4533","-2","-2","-2"
"4537","0","0","0"
"4548","2","2","2"
"4551","1","1","1"
"4558","-2","-2","-2"
"4559","-3","-3","-3"
"4563","-2","-2","-2"
"4573","-1","-1","-1"
"4575","-3","-3","-3"
"4576","1","1","1"
"4577","-1","-1","-1"
"4578","-2","-2","-2"
"4583","-3","-3","-3"
"4585","-1","-1","-1"
"4589","-2","-2","-2"
"4600","-2","-2","-2"
"4608","4","4","4"
"4613","1","1","1"
"4615","-3","-3","-3"
"4622","-3","-3","-3"
"4623","-3","-3","-3"
"4625","-3","-3","-3"
"4626","0","0","0"
"4639","2","2","2"
"4648","3","3","3"
"4659","5","5","5"
"4661","-2","-2","-2"
"4670","-2","-2","-2"
"4671","1","1","1"
"4684","1","1","1"
"4686","-2","-2","-2"
"4696","-1","-1","-1"
"4703","-1","-1","-1"
"4705","-2","-2","-2"
"4711","1","1","1"
"4720","-2","-2","-2"
"4730","-2","-2","-2"
