"Step","DQN_run_1747564920 - win","DQN_run_1747564920 - win__MIN","DQN_run_1747564920 - win__MAX"
"4961","0","0","0"
"4962","0","0","0"
"4966","0","0","0"
"4975","0","0","0"
"4978","0","0","0"
"4984","0","0","0"
"4997","0","0","0"
"4999","0","0","0"
"5009","0","0","0"
"5036","0","0","0"
"5038","0","0","0"
"5040","0","0","0"
"5046","0","0","0"
"5050","0","0","0"
"5053","0","0","0"
"5054","0","0","0"
"5067","0","0","0"
"5069","0","0","0"
"5077","0","0","0"
"5083","0","0","0"
"5089","0","0","0"
"5093","0","0","0"
"5097","0","0","0"
"5102","0","0","0"
"5114","0","0","0"
"5119","0","0","0"
"5124","0","0","0"
"5133","0","0","0"
"5134","0","0","0"
"5136","0","0","0"
"5146","0","0","0"
"5150","0","0","0"
"5153","0","0","0"
"5154","0","0","0"
"5155","0","0","0"
"5162","0","0","0"
"5169","0","0","0"
"5172","0","0","0"
"5174","0","0","0"
"5176","0","0","0"
"5195","0","0","0"
"5197","0","0","0"
"5205","0","0","0"
"5209","0","0","0"
"5212","0","0","0"
"5215","0","0","0"
"5233","0","0","0"
"5244","0","0","0"
"5252","0","0","0"
"5255","0","0","0"
"5257","0","0","0"
"5258","0","0","0"
"5259","0","0","0"
"5264","0","0","0"
"5265","0","0","0"
"5276","0","0","0"
"5282","0","0","0"
"5283","0","0","0"
"5285","0","0","0"
"5288","0","0","0"
"5293","0","0","0"
"5294","0","0","0"
"5295","0","0","0"
"5307","0","0","0"
"5311","0","0","0"
"5312","0","0","0"
"5317","0","0","0"
"5319","0","0","0"
"5321","0","0","0"
"5322","0","0","0"
"5330","0","0","0"
"5335","0","0","0"
"5338","0","0","0"
"5342","0","0","0"
"5349","0","0","0"
"5352","0","0","0"
"5354","0","0","0"
"5355","0","0","0"
"5374","0","0","0"
"5378","0","0","0"
"5380","0","0","0"
"5387","0","0","0"
"5396","0","0","0"
"5398","0","0","0"
"5401","0","0","0"
"5406","0","0","0"
"5410","0","0","0"
"5415","0","0","0"
"5419","0","0","0"
"5422","0","0","0"
"5428","0","0","0"
"5449","0","0","0"
"5451","0","0","0"
"5452","0","0","0"
"5454","0","0","0"
"5461","0","0","0"
"5466","0","0","0"
"5477","0","0","0"
"5478","0","0","0"
"5480","0","0","0"
"5488","0","0","0"
"5490","0","0","0"
"5494","0","0","0"
"5498","0","0","0"
"5499","0","0","0"
"5501","0","0","0"
"5514","0","0","0"
"5526","0","0","0"
"5528","0","0","0"
"5535","0","0","0"
"5536","0","0","0"
"5540","0","0","0"
"5542","0","0","0"
"5543","0","0","0"
"5555","0","0","0"
"5559","0","0","0"
"5565","0","0","0"
"5570","0","0","0"
"5576","0","0","0"
"5580","0","0","0"
"5588","0","0","0"
"5595","0","0","0"
"5601","0","0","0"
"5610","0","0","0"
"5617","0","0","0"
"5626","0","0","0"
"5628","0","0","0"
"5632","0","0","0"
"5636","0","0","0"
"5637","0","0","0"
"5638","0","0","0"
"5639","0","0","0"
"5645","0","0","0"
"5646","0","0","0"
"5647","0","0","0"
"5648","0","0","0"
"5649","0","0","0"
"5651","0","0","0"
"5658","0","0","0"
"5669","0","0","0"
"5674","0","0","0"
"5686","0","0","0"
"5688","0","0","0"
"5691","0","0","0"
"5693","0","0","0"
"5706","0","0","0"
"5711","0","0","0"
"5712","0","0","0"
"5713","0","0","0"
"5722","0","0","0"
"5729","0","0","0"
"5731","0","0","0"
"5732","0","0","0"
"5734","0","0","0"
"5736","0","0","0"
"5740","0","0","0"
"5746","0","0","0"
"5748","0","0","0"
"5750","0","0","0"
"5751","0","0","0"
"5755","0","0","0"
"5761","0","0","0"
"5764","0","0","0"
"5771","0","0","0"
"5772","0","0","0"
"5775","0","0","0"
"5785","0","0","0"
"5786","0","0","0"
"5787","0","0","0"
"5789","0","0","0"
"5808","0","0","0"
"5809","0","0","0"
"5811","0","0","0"
"5814","0","0","0"
"5820","0","0","0"
"5822","0","0","0"
"5825","0","0","0"
"5828","0","0","0"
"5829","0","0","0"
"5842","0","0","0"
"5846","0","0","0"
"5847","0","0","0"
"5852","0","0","0"
"5853","0","0","0"
"5856","0","0","0"
"5861","0","0","0"
"5862","0","0","0"
"5863","0","0","0"
"5866","0","0","0"
"5869","0","0","0"
"5870","0","0","0"
"5872","0","0","0"
"5874","0","0","0"
"5876","0","0","0"
"5880","0","0","0"
"5884","0","0","0"
"5898","0","0","0"
"5911","0","0","0"
"5914","0","0","0"
"5920","0","0","0"
"5928","0","0","0"
"5930","0","0","0"
"5933","0","0","0"
"5938","0","0","0"
"5943","0","0","0"
"5944","0","0","0"
"5945","0","0","0"
"5954","0","0","0"
"5956","0","0","0"
"5962","0","0","0"
"5969","0","0","0"
"5986","0","0","0"
"5989","0","0","0"
"5990","0","0","0"
"5997","0","0","0"
"6002","0","0","0"
"6008","0","0","0"
"6024","0","0","0"
"6030","0","0","0"
"6031","0","0","0"
"6042","0","0","0"
"6044","0","0","0"
"6045","0","0","0"
"6055","0","0","0"
"6058","0","0","0"
"6064","0","0","0"
"6087","0","0","0"
"6091","0","0","0"
"6095","0","0","0"
"6098","0","0","0"
"6106","0","0","0"
"6113","0","0","0"
"6127","0","0","0"
"6141","0","0","0"
"6144","0","0","0"
"6146","0","0","0"
"6147","0","0","0"
"6151","0","0","0"
"6157","0","0","0"
"6158","0","0","0"
"6161","0","0","0"
"6166","0","0","0"
"6178","0","0","0"
"6183","0","0","0"
"6187","0","0","0"
"6188","0","0","0"
"6189","0","0","0"
"6191","0","0","0"
"6192","0","0","0"
"6196","0","0","0"
"6204","0","0","0"
"6207","0","0","0"
"6208","0","0","0"
"6214","0","0","0"
"6217","0","0","0"
"6235","0","0","0"
"6237","0","0","0"
"6245","0","0","0"
"6247","0","0","0"
"6264","0","0","0"
"6265","0","0","0"
"6279","0","0","0"
"6285","0","0","0"
"6293","0","0","0"
"6295","0","0","0"
"6296","0","0","0"
"6298","0","0","0"
"6301","0","0","0"
"6304","0","0","0"
"6308","0","0","0"
"6316","0","0","0"
"6323","0","0","0"
"6325","0","0","0"
"6329","0","0","0"
"6332","0","0","0"
"6335","0","0","0"
"6337","0","0","0"
"6340","0","0","0"
"6343","0","0","0"
"6349","0","0","0"
"6359","0","0","0"
"6364","0","0","0"
"6367","0","0","0"
"6370","0","0","0"
"6377","0","0","0"
"6380","0","0","0"
"6385","0","0","0"
"6387","0","0","0"
"6390","0","0","0"
"6394","0","0","0"
"6400","0","0","0"
"6406","0","0","0"
"6414","0","0","0"
"6422","0","0","0"
"6427","0","0","0"
"6432","0","0","0"
"6434","0","0","0"
"6441","0","0","0"
"6453","0","0","0"
"6457","0","0","0"
"6462","0","0","0"
"6463","0","0","0"
"6477","0","0","0"
"6488","0","0","0"
"6500","0","0","0"
"6502","0","0","0"
"6526","0","0","0"
"6527","0","0","0"
"6528","0","0","0"
