wandb: Currently logged in as: bastien-jossen (bastien-jossen-university-of-bern) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /storage/homefs/bj20p045/NewRL/Non-Det/DQN/wandb/run-20250518_143205-obvxqtuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run non_Det_DQN_run_1747571525
wandb: ⭐️ View project at https://wandb.ai/bastien-jossen-university-of-bern/minesweeper-RL
wandb: 🚀 View run at https://wandb.ai/bastien-jossen-university-of-bern/minesweeper-RL/runs/obvxqtuc
Episode 62000 | Return: 2.00 | Win: 0.00
Episode 63000 | Return: -2.00 | Win: 0.00
Episode 64000 | Return: -2.00 | Win: 0.00
Episode 65000 | Return: -1.00 | Win: 0.00
Episode 66000 | Return: 4.00 | Win: 0.00
Episode 67000 | Return: 2.00 | Win: 0.00
Episode 68000 | Return: -2.00 | Win: 0.00
Episode 69000 | Return: 0.00 | Win: 0.00
Episode 70000 | Return: -1.00 | Win: 0.00
Episode 71000 | Return: 0.00 | Win: 0.00
Episode 72000 | Return: 1.00 | Win: 0.00
Episode 73000 | Return: 2.00 | Win: 0.00
Episode 74000 | Return: 5.00 | Win: 0.00
Episode 75000 | Return: -2.00 | Win: 0.00
Episode 76000 | Return: -2.00 | Win: 0.00
Episode 77000 | Return: -1.00 | Win: 0.00
Episode 78000 | Return: -1.00 | Win: 0.00
Episode 79000 | Return: -1.00 | Win: 0.00
Episode 80000 | Return: -2.00 | Win: 0.00
Episode 81000 | Return: -2.00 | Win: 0.00
Episode 82000 | Return: 1.00 | Win: 0.00
Episode 83000 | Return: -2.00 | Win: 0.00
Episode 84000 | Return: -2.00 | Win: 0.00
Episode 85000 | Return: 4.00 | Win: 0.00
Episode 86000 | Return: -2.00 | Win: 0.00
Episode 87000 | Return: 1.00 | Win: 0.00
Episode 88000 | Return: -2.00 | Win: 0.00
Episode 89000 | Return: -2.00 | Win: 0.00
Episode 90000 | Return: 0.00 | Win: 0.00
Episode 91000 | Return: -1.00 | Win: 0.00
Episode 92000 | Return: 0.00 | Win: 0.00
Episode 93000 | Return: -2.00 | Win: 0.00
Episode 94000 | Return: -2.00 | Win: 0.00
Episode 95000 | Return: 21.00 | Win: 1.00
Episode 96000 | Return: -1.00 | Win: 0.00
Episode 97000 | Return: -2.00 | Win: 0.00
Episode 98000 | Return: -2.00 | Win: 0.00
Episode 99000 | Return: 2.00 | Win: 0.00
Episode 100000 | Return: -2.00 | Win: 0.00
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mnon_Det_DQN_run_1747571525[0m at: [34mhttps://wandb.ai/bastien-jossen-university-of-bern/minesweeper-RL/runs/obvxqtuc[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20250518_143205-obvxqtuc/logs[0m
