episode,train_reward,win,roll_mean,roll_std,roll_win
620,-3.0,0,,,
621,-2.0,0,,,
622,4.0,0,,,
623,-1.0,0,,,
624,-2.0,0,,,
625,-2.0,0,,,
626,-1.0,0,,,
627,-2.0,0,,,
628,2.0,0,,,
629,-1.0,0,,,
630,1.0,0,,,
631,0.0,0,,,
632,4.0,0,,,
633,1.0,0,,,
634,-1.0,0,,,
635,0.0,0,,,
636,0.0,0,,,
637,5.0,0,,,
638,-2.0,0,,,
639,2.0,0,,,
640,1.0,0,,,
641,-2.0,0,,,
642,-2.0,0,,,
643,-2.0,0,,,
644,2.0,0,,,
645,3.0,0,,,
646,1.0,0,,,
647,-1.0,0,,,
648,2.0,0,,,
649,-2.0,0,,,
650,2.0,0,,,
651,1.0,0,,,
652,-2.0,0,,,
653,0.0,0,,,
654,-1.0,0,,,
655,-2.0,0,,,
656,5.0,0,,,
657,-3.0,0,,,
658,-1.0,0,,,
659,-2.0,0,,,
660,1.0,0,,,
661,-1.0,0,,,
662,-2.0,0,,,
663,-3.0,0,,,
664,1.0,0,,,
665,4.0,0,,,
666,-2.0,0,,,
667,-1.0,0,,,
668,-1.0,0,,,
669,1.0,0,,,
670,-1.0,0,,,
671,-1.0,0,,,
672,2.0,0,,,
673,-2.0,0,,,
674,-3.0,0,,,
675,3.0,0,,,
676,1.0,0,,,
677,-1.0,0,,,
678,4.0,0,,,
679,-2.0,0,,,
680,0.0,0,,,
681,-2.0,0,,,
682,1.0,0,,,
683,-2.0,0,,,
684,4.0,0,,,
685,-2.0,0,,,
686,-3.0,0,,,
687,0.0,0,,,
688,-2.0,0,,,
689,-2.0,0,,,
690,-3.0,0,,,
691,-1.0,0,,,
692,-1.0,0,,,
693,-1.0,0,,,
694,2.0,0,,,
695,1.0,0,,,
696,-2.0,0,,,
697,-2.0,0,,,
698,1.0,0,,,
699,-2.0,0,,,
700,1.0,0,,,
701,-1.0,0,,,
702,-2.0,0,,,
703,-3.0,0,,,
704,0.0,0,,,
705,3.0,0,,,
706,0.0,0,,,
707,-2.0,0,,,
708,-3.0,0,,,
709,1.0,0,,,
710,-1.0,0,,,
