"Step","non_det_DDQN_3_100k - total_reward","non_det_DDQN_3_100k - total_reward__MIN","non_det_DDQN_3_100k - total_reward__MAX"
"3871","-2","-2","-2"
"3881","0","0","0"
"3886","-1","-1","-1"
"3889","-2","-2","-2"
"3891","3","3","3"
"3909","0","0","0"
"3919","-2","-2","-2"
"3933","4","4","4"
"3940","0","0","0"
"3943","1","1","1"
"3945","0","0","0"
"3948","-1","-1","-1"
"3949","4","4","4"
"3952","-1","-1","-1"
"3953","-1","-1","-1"
"3963","-1","-1","-1"
"3968","4","4","4"
"3976","-1","-1","-1"
"3984","-2","-2","-2"
"4018","-1","-1","-1"
"4024","-2","-2","-2"
"4058","-1","-1","-1"
"4062","-2","-2","-2"
"4075","-2","-2","-2"
"4077","1","1","1"
"4082","-2","-2","-2"
"4105","-1","-1","-1"
"4108","1","1","1"
"4118","-2","-2","-2"
"4128","-2","-2","-2"
"4156","-1","-1","-1"
"4164","-1","-1","-1"
"4172","2","2","2"
"4174","-2","-2","-2"
"4181","-1","-1","-1"
"4185","-1","-1","-1"
"4224","-2","-2","-2"
"4232","-2","-2","-2"
"4235","-2","-2","-2"
"4240","-1","-1","-1"
"4241","-2","-2","-2"
"4249","-1","-1","-1"
"4257","-2","-2","-2"
"4275","1","1","1"
"4277","4","4","4"
"4279","0","0","0"
"4286","-2","-2","-2"
"4293","-1","-1","-1"
"4302","-2","-2","-2"
"4307","-2","-2","-2"
"4312","-2","-2","-2"
"4313","2","2","2"
"4316","-1","-1","-1"
"4350","9","9","9"
"4351","1","1","1"
"4358","-1","-1","-1"
"4360","-2","-2","-2"
"4361","-2","-2","-2"
"4373","2","2","2"
"4375","-2","-2","-2"
"4378","2","2","2"
"4382","-2","-2","-2"
"4386","0","0","0"
"4387","-2","-2","-2"
"4388","-2","-2","-2"
"4414","-2","-2","-2"
"4419","-2","-2","-2"
"4432","1","1","1"
"4441","-2","-2","-2"
"4445","-1","-1","-1"
"4455","-2","-2","-2"
"4458","2","2","2"
"4460","7","7","7"
"4463","0","0","0"
"4474","-2","-2","-2"
"4493","-1","-1","-1"
"4495","-2","-2","-2"
"4503","1","1","1"
"4516","-1","-1","-1"
"4522","-2","-2","-2"
"4542","-2","-2","-2"
"4544","-1","-1","-1"
"4549","9","9","9"
"4551","0","0","0"
"4584","-2","-2","-2"
"4585","-2","-2","-2"
"4599","0","0","0"
"4601","0","0","0"
"4607","-2","-2","-2"
"4618","-2","-2","-2"
"4660","-1","-1","-1"
"4668","1","1","1"
"4677","-1","-1","-1"
"4678","-1","-1","-1"
"4687","-2","-2","-2"
"4690","-2","-2","-2"
"4691","-2","-2","-2"
"4699","-1","-1","-1"
"4709","0","0","0"
"4710","0","0","0"
"4742","-1","-1","-1"
"4763","-1","-1","-1"
"4768","3","3","3"
"4776","4","4","4"
"4790","0","0","0"
"4793","-1","-1","-1"
"4802","-2","-2","-2"
"4811","-1","-1","-1"
"4814","0","0","0"
"4818","-2","-2","-2"
"4853","0","0","0"
"4863","-2","-2","-2"
"4880","-2","-2","-2"
"4886","-2","-2","-2"
"4937","4","4","4"
"4958","-1","-1","-1"
"4964","0","0","0"
"4969","3","3","3"
"4970","1","1","1"
"4973","-2","-2","-2"
"4977","-2","-2","-2"
"4994","-2","-2","-2"
"5000","0","0","0"
"5004","-2","-2","-2"
"5020","-1","-1","-1"
"5033","-2","-2","-2"
"5035","-1","-1","-1"
"5037","-1","-1","-1"
"5045","-2","-2","-2"
"5053","1","1","1"
"5074","-1","-1","-1"
"5078","-2","-2","-2"
"5083","2","2","2"
"5088","-1","-1","-1"
"5091","-2","-2","-2"
"5092","-2","-2","-2"
"5115","-2","-2","-2"
"5123","-2","-2","-2"
"5124","0","0","0"
"5129","-2","-2","-2"
"5132","-2","-2","-2"
"5150","-1","-1","-1"
"5180","-2","-2","-2"
"5186","3","3","3"
"5198","-2","-2","-2"
"5217","-1","-1","-1"
"5227","-1","-1","-1"
"5231","-1","-1","-1"
"5240","-1","-1","-1"
"5246","-2","-2","-2"
"5249","-2","-2","-2"
"5250","2","2","2"
"5265","-1","-1","-1"
"5279","-2","-2","-2"
"5292","-2","-2","-2"
"5297","1","1","1"
"5322","2","2","2"
"5329","-2","-2","-2"
"5337","-2","-2","-2"
"5344","-2","-2","-2"
"5345","2","2","2"
"5407","-2","-2","-2"
"5417","-2","-2","-2"
"5422","-2","-2","-2"
"5440","0","0","0"
"5443","-2","-2","-2"
"5448","-1","-1","-1"
"5452","-2","-2","-2"
"5456","-2","-2","-2"
"5462","0","0","0"
"5464","-1","-1","-1"
"5470","1","1","1"
"5485","1","1","1"
"5505","-2","-2","-2"
"5539","0","0","0"
"5574","-2","-2","-2"
"5589","3","3","3"
"5593","-1","-1","-1"
"5608","-1","-1","-1"
"5614","-2","-2","-2"
"5615","-2","-2","-2"
"5619","4","4","4"
"5621","-1","-1","-1"
"5638","-2","-2","-2"
"5662","-2","-2","-2"
"5667","-1","-1","-1"
"5684","1","1","1"
"5690","0","0","0"
"5693","-1","-1","-1"
"5698","0","0","0"
"5707","-1","-1","-1"
"5738","-1","-1","-1"
"5741","-2","-2","-2"
"5747","-1","-1","-1"
"5750","2","2","2"
"5753","3","3","3"
"5761","1","1","1"
"5773","-2","-2","-2"
"5823","-1","-1","-1"
"5824","-1","-1","-1"
"5825","-1","-1","-1"
"5826","-2","-2","-2"
"5833","2","2","2"
"5837","-2","-2","-2"
"5841","-2","-2","-2"
"5843","-2","-2","-2"
"5844","0","0","0"
"5856","-2","-2","-2"
"5863","-2","-2","-2"
"5865","-2","-2","-2"
"5874","-1","-1","-1"
"5907","-2","-2","-2"
"5932","-2","-2","-2"
"5933","-1","-1","-1"
"5947","-2","-2","-2"
"5951","-2","-2","-2"
"5952","1","1","1"
"5955","-1","-1","-1"
"5959","-2","-2","-2"
"5980","-2","-2","-2"
"5985","3","3","3"
"5991","1","1","1"
"6001","-2","-2","-2"
"6005","-2","-2","-2"
"6014","-2","-2","-2"
"6019","-2","-2","-2"
"6024","-1","-1","-1"
"6030","-1","-1","-1"
"6036","-1","-1","-1"
"6042","-1","-1","-1"
"6044","0","0","0"
"6048","2","2","2"
"6052","-1","-1","-1"
"6074","-2","-2","-2"
"6079","-1","-1","-1"
"6084","-2","-2","-2"
"6091","4","4","4"
"6096","1","1","1"
"6097","-2","-2","-2"
"6103","0","0","0"
"6109","-1","-1","-1"
"6111","6","6","6"
"6123","-1","-1","-1"
"6125","5","5","5"
"6145","-2","-2","-2"
"6166","-2","-2","-2"
"6173","1","1","1"
"6180","7","7","7"
"6182","0","0","0"
"6195","-1","-1","-1"
"6197","-2","-2","-2"
"6206","-2","-2","-2"
"6207","5","5","5"
"6226","1","1","1"
"6229","2","2","2"
"6232","-1","-1","-1"
"6243","-2","-2","-2"
"6254","-2","-2","-2"
"6264","-2","-2","-2"
"6265","3","3","3"
"6268","1","1","1"
"6288","-1","-1","-1"
"6294","1","1","1"
"6320","1","1","1"
"6322","-1","-1","-1"
"6328","-2","-2","-2"
"6345","1","1","1"
"6347","-1","-1","-1"
"6349","-2","-2","-2"
"6355","-1","-1","-1"
"6371","1","1","1"
"6374","-2","-2","-2"
"6381","-1","-1","-1"
"6401","2","2","2"
"6411","0","0","0"
"6419","-2","-2","-2"
"6423","-2","-2","-2"
"6427","-1","-1","-1"
"6437","-2","-2","-2"
"6438","-1","-1","-1"
"6462","2","2","2"
"6474","-2","-2","-2"
"6495","-2","-2","-2"
"6511","-1","-1","-1"
"6525","0","0","0"
"6528","0","0","0"
"6551","-2","-2","-2"
"6564","-2","-2","-2"
"6568","-2","-2","-2"
"6581","-1","-1","-1"
"6582","-1","-1","-1"
"6590","6","6","6"
"6617","-2","-2","-2"
"6622","-2","-2","-2"
"6625","-1","-1","-1"
"6638","-2","-2","-2"
"6648","-2","-2","-2"
"6654","-1","-1","-1"
"6663","-2","-2","-2"
"6666","-1","-1","-1"
"6681","-1","-1","-1"
"6687","-1","-1","-1"
"6701","-1","-1","-1"
"6709","1","1","1"
"6711","0","0","0"
"6737","-2","-2","-2"
"6747","2","2","2"
"6771","-2","-2","-2"
"6779","3","3","3"
"6783","-2","-2","-2"
"6798","-1","-1","-1"
"6805","-1","-1","-1"
"6815","-2","-2","-2"
"6818","-1","-1","-1"
"6823","-2","-2","-2"
"6837","-2","-2","-2"
"6866","4","4","4"
"6870","-2","-2","-2"
"6874","1","1","1"
"6885","-2","-2","-2"
"6899","-2","-2","-2"
"6909","-1","-1","-1"
"6912","1","1","1"
"6923","-2","-2","-2"
"6945","0","0","0"
"6950","-1","-1","-1"
"6951","0","0","0"
"6961","-2","-2","-2"
"6962","-1","-1","-1"
"6970","-2","-2","-2"
"6976","-1","-1","-1"
"6983","-2","-2","-2"
"6984","-2","-2","-2"
"7016","-1","-1","-1"
"7018","-2","-2","-2"
"7030","-2","-2","-2"
"7031","-2","-2","-2"
"7041","2","2","2"
"7048","2","2","2"
"7058","-1","-1","-1"
"7066","-2","-2","-2"
"7074","-2","-2","-2"
"7085","-2","-2","-2"
"7091","-2","-2","-2"
"7115","-1","-1","-1"
"7140","-1","-1","-1"
"7159","-2","-2","-2"
"7166","0","0","0"
"7169","5","5","5"
"7183","-2","-2","-2"
"7189","-2","-2","-2"
"7193","-2","-2","-2"
"7210","0","0","0"
"7277","-2","-2","-2"
"7279","11","11","11"
"7300","-2","-2","-2"
"7303","-2","-2","-2"
"7312","-2","-2","-2"
"7322","-1","-1","-1"
"7326","-2","-2","-2"
"7341","1","1","1"
"7362","1","1","1"
"7365","-2","-2","-2"
"7374","-2","-2","-2"
"7386","-1","-1","-1"
"7399","-2","-2","-2"
"7410","-1","-1","-1"
"7425","-2","-2","-2"
"7441","-1","-1","-1"
"7442","-2","-2","-2"
"7445","0","0","0"
"7448","0","0","0"
"7450","-2","-2","-2"
"7461","-2","-2","-2"
"7465","-1","-1","-1"
"7472","0","0","0"
"7480","-2","-2","-2"
"7494","0","0","0"
"7511","2","2","2"
"7540","-2","-2","-2"
"7542","-2","-2","-2"
"7555","-1","-1","-1"
"7557","-1","-1","-1"
"7565","-2","-2","-2"
"7576","-1","-1","-1"
"7582","-2","-2","-2"
"7585","0","0","0"
"7589","1","1","1"
"7603","1","1","1"
"7618","-2","-2","-2"
"7631","-2","-2","-2"
"7647","-2","-2","-2"
"7651","-1","-1","-1"
"7666","1","1","1"
"7676","-1","-1","-1"
"7685","-2","-2","-2"
"7691","-2","-2","-2"
"7698","-1","-1","-1"
"7701","-1","-1","-1"
"7711","-2","-2","-2"
"7726","2","2","2"
"7744","2","2","2"
"7753","-1","-1","-1"
"7754","0","0","0"
"7758","1","1","1"
"7773","4","4","4"
"7792","0","0","0"
"7795","-1","-1","-1"
"7800","-2","-2","-2"
"7817","-2","-2","-2"
"7828","0","0","0"
"7846","-1","-1","-1"
"7848","0","0","0"
"7861","-2","-2","-2"
"7879","-1","-1","-1"
"7881","-1","-1","-1"
"7882","-2","-2","-2"
"7914","-2","-2","-2"
"7918","-1","-1","-1"
"7926","-2","-2","-2"
"7937","-2","-2","-2"
"7947","-2","-2","-2"
"7962","0","0","0"
"7977","3","3","3"
"7978","4","4","4"
"7983","2","2","2"
"7992","4","4","4"
"8031","-2","-2","-2"
"8033","-1","-1","-1"
"8034","-2","-2","-2"
"8039","0","0","0"
"8054","-2","-2","-2"
"8057","3","3","3"
"8062","1","1","1"
"8082","3","3","3"
"8092","-1","-1","-1"
"8103","-2","-2","-2"
"8112","-2","-2","-2"
"8125","-2","-2","-2"
"8144","-2","-2","-2"
"8162","-2","-2","-2"
"8178","-1","-1","-1"
"8180","4","4","4"
"8185","-2","-2","-2"
"8187","-2","-2","-2"
"8192","-2","-2","-2"
"8193","-2","-2","-2"
"8198","2","2","2"
"8203","0","0","0"
"8205","1","1","1"
"8211","1","1","1"
"8222","1","1","1"
"8248","0","0","0"
"8256","-2","-2","-2"
"8258","2","2","2"
"8281","-2","-2","-2"
"8286","-2","-2","-2"
"8325","-2","-2","-2"
"8334","-2","-2","-2"
"8342","-1","-1","-1"
"8343","-2","-2","-2"
"8350","1","1","1"
"8358","1","1","1"
"8360","-1","-1","-1"
"8375","-2","-2","-2"
"8376","-2","-2","-2"
"8381","-2","-2","-2"
"8401","5","5","5"
"8403","-2","-2","-2"
"8441","1","1","1"
"8475","-2","-2","-2"
"8482","0","0","0"
"8490","0","0","0"
"8496","1","1","1"
"8498","-2","-2","-2"
"8499","-2","-2","-2"
"8512","-2","-2","-2"
"8522","-2","-2","-2"
"8523","-2","-2","-2"
"8534","-1","-1","-1"
"8545","-2","-2","-2"
"8549","-2","-2","-2"
"8557","-2","-2","-2"
"8560","-2","-2","-2"
"8571","1","1","1"
"8583","3","3","3"
"8590","-2","-2","-2"
"8596","1","1","1"
"8624","-1","-1","-1"
"8628","-2","-2","-2"
"8639","-1","-1","-1"
"8641","-2","-2","-2"
"8647","-1","-1","-1"
"8656","-1","-1","-1"
"8665","-2","-2","-2"
"8671","-2","-2","-2"
"8674","-2","-2","-2"
"8688","1","1","1"
"8690","6","6","6"
"8692","0","0","0"
"8729","-2","-2","-2"
"8731","-1","-1","-1"
"8732","-2","-2","-2"
"8734","-2","-2","-2"
"8741","-2","-2","-2"
"8742","1","1","1"
"8744","0","0","0"
"8756","0","0","0"
"8766","-2","-2","-2"
"8767","-1","-1","-1"
"8769","-1","-1","-1"
"8777","1","1","1"
"8804","-1","-1","-1"
"8808","4","4","4"
"8814","0","0","0"
"8817","3","3","3"
"8819","-2","-2","-2"
"8824","-2","-2","-2"
"8828","-1","-1","-1"
"8833","-1","-1","-1"
"8865","-1","-1","-1"
"8899","-2","-2","-2"
"8902","6","6","6"
"8916","-2","-2","-2"
"8918","-2","-2","-2"
"8926","-2","-2","-2"
"8931","-2","-2","-2"
"8941","3","3","3"
"8963","-1","-1","-1"
"9001","3","3","3"
"9002","-2","-2","-2"
"9007","0","0","0"
"9014","6","6","6"
"9016","0","0","0"
"9048","0","0","0"
"9056","-2","-2","-2"
"9069","-2","-2","-2"
"9071","-1","-1","-1"
"9072","-2","-2","-2"
"9084","-1","-1","-1"
"9097","-2","-2","-2"
"9098","-1","-1","-1"
"9109","0","0","0"
"9118","-2","-2","-2"
"9120","-1","-1","-1"
"9147","0","0","0"
"9150","-1","-1","-1"
"9152","-2","-2","-2"
"9160","-2","-2","-2"
"9174","-2","-2","-2"
"9175","-2","-2","-2"
"9178","0","0","0"
"9188","4","4","4"
"9199","-2","-2","-2"
"9203","-1","-1","-1"
"9210","-2","-2","-2"
"9222","-1","-1","-1"
"9231","-2","-2","-2"
"9256","-2","-2","-2"
"9260","-1","-1","-1"
"9273","-1","-1","-1"
"9280","1","1","1"
"9281","-1","-1","-1"
"9293","-2","-2","-2"
"9295","0","0","0"
"9298","-2","-2","-2"
"9306","0","0","0"
"9308","-2","-2","-2"
"9320","-1","-1","-1"
"9326","1","1","1"
"9328","4","4","4"
"9333","0","0","0"
"9337","1","1","1"
"9343","-1","-1","-1"
"9352","-1","-1","-1"
"9357","-2","-2","-2"
"9368","16","16","16"
"9376","-1","-1","-1"
"9379","2","2","2"
"9383","-1","-1","-1"
"9386","0","0","0"
"9404","-2","-2","-2"
"9414","-2","-2","-2"
"9429","-2","-2","-2"
"9431","3","3","3"
"9451","-2","-2","-2"
"9461","2","2","2"
"9465","-1","-1","-1"
"9473","5","5","5"
"9483","-2","-2","-2"
"9522","-1","-1","-1"
"9525","-2","-2","-2"
"9539","2","2","2"
"9542","2","2","2"
"9556","-2","-2","-2"
"9559","-2","-2","-2"
"9568","-2","-2","-2"
"9579","1","1","1"
"9580","-1","-1","-1"
"9595","0","0","0"
"9599","-1","-1","-1"
"9610","-2","-2","-2"
"9626","3","3","3"
"9628","0","0","0"
"9642","-2","-2","-2"
"9650","0","0","0"
"9659","0","0","0"
"9685","-2","-2","-2"
"9698","3","3","3"
"9702","-1","-1","-1"
"9708","-2","-2","-2"
"9710","0","0","0"
"9767","0","0","0"
"9784","-1","-1","-1"
"9787","3","3","3"
"9795","-2","-2","-2"
"9805","-2","-2","-2"
"9810","1","1","1"
"9813","-2","-2","-2"
"9837","4","4","4"
"9846","-1","-1","-1"
"9862","-2","-2","-2"
"9890","-2","-2","-2"
"9891","1","1","1"
"9892","-1","-1","-1"
"9900","-2","-2","-2"
"9907","-1","-1","-1"
"9913","-2","-2","-2"
"9928","-2","-2","-2"
"9932","1","1","1"
"9941","-2","-2","-2"
