"Step","non_det_DDQN_3_100k - win","non_det_DDQN_3_100k - win__MIN","non_det_DDQN_3_100k - win__MAX"
"5621","0","0","0"
"5651","0","0","0"
"5652","0","0","0"
"5666","0","0","0"
"5669","0","0","0"
"5701","0","0","0"
"5708","0","0","0"
"5731","0","0","0"
"5742","0","0","0"
"5756","0","0","0"
"5759","0","0","0"
"5762","0","0","0"
"5801","0","0","0"
"5811","0","0","0"
"5815","0","0","0"
"5868","0","0","0"
"5869","0","0","0"
"5879","0","0","0"
"5902","0","0","0"
"5907","0","0","0"
"5909","0","0","0"
"5919","0","0","0"
"5939","0","0","0"
"5940","0","0","0"
"5948","0","0","0"
"5949","0","0","0"
"5951","0","0","0"
"5959","0","0","0"
"5962","0","0","0"
"5974","0","0","0"
"5975","0","0","0"
"5993","0","0","0"
"6000","0","0","0"
"6001","0","0","0"
"6010","0","0","0"
"6018","0","0","0"
"6027","0","0","0"
"6029","0","0","0"
"6038","0","0","0"
"6050","0","0","0"
"6059","0","0","0"
"6090","0","0","0"
"6103","0","0","0"
"6118","0","0","0"
"6127","0","0","0"
"6128","0","0","0"
"6132","0","0","0"
"6162","0","0","0"
"6163","0","0","0"
"6170","0","0","0"
"6174","0","0","0"
"6183","0","0","0"
"6185","0","0","0"
"6191","0","0","0"
"6194","0","0","0"
"6214","0","0","0"
"6226","0","0","0"
"6233","0","0","0"
"6244","0","0","0"
"6246","0","0","0"
"6254","0","0","0"
"6265","0","0","0"
"6292","0","0","0"
"6312","0","0","0"
"6332","0","0","0"
"6338","0","0","0"
"6350","0","0","0"
"6357","0","0","0"
"6363","0","0","0"
"6366","0","0","0"
"6376","0","0","0"
"6414","0","0","0"
"6421","0","0","0"
"6438","0","0","0"
"6453","0","0","0"
"6457","0","0","0"
"6464","0","0","0"
"6480","0","0","0"
"6481","0","0","0"
"6482","0","0","0"
"6487","0","0","0"
"6489","0","0","0"
"6501","0","0","0"
"6503","0","0","0"
"6518","0","0","0"
"6521","0","0","0"
"6523","0","0","0"
"6525","0","0","0"
"6526","0","0","0"
"6533","0","0","0"
"6540","0","0","0"
"6542","0","0","0"
"6545","0","0","0"
"6546","0","0","0"
"6547","0","0","0"
"6580","0","0","0"
"6619","0","0","0"
"6626","0","0","0"
"6629","0","0","0"
"6633","0","0","0"
