"Step","DDQN_good_disc - win","non_det_DDQN_run_1747653794 - win__MIN","non_det_DDQN_run_1747653794 - win__MAX"
"2639","0","0","0"
"2640","0","0","0"
"2648","0","0","0"
"2658","0","0","0"
"2661","0","0","0"
"2664","0","0","0"
"2665","0","0","0"
"2673","0","0","0"
"2678","0","0","0"
"2685","0","0","0"
"2698","0","0","0"
"2702","0","0","0"
"2707","0","0","0"
"2710","0","0","0"
"2711","0","0","0"
"2713","0","0","0"
"2714","0","0","0"
"2716","0","0","0"
"2718","0","0","0"
"2722","0","0","0"
"2726","0","0","0"
"2729","0","0","0"
"2733","0","0","0"
"2740","0","0","0"
"2744","0","0","0"
"2756","0","0","0"
"2757","0","0","0"
"2760","0","0","0"
"2764","0","0","0"
"2786","0","0","0"
"2791","0","0","0"
"2792","0","0","0"
"2793","0","0","0"
"2794","0","0","0"
"2807","0","0","0"
"2816","0","0","0"
"2820","0","0","0"
"2828","0","0","0"
"2829","0","0","0"
"2833","0","0","0"
"2840","0","0","0"
"2843","0","0","0"
"2852","0","0","0"
"2863","0","0","0"
"2871","0","0","0"
"2882","0","0","0"
"2883","0","0","0"
"2888","0","0","0"
"2895","0","0","0"
"2902","0","0","0"
"2915","0","0","0"
"2922","0","0","0"
"2923","0","0","0"
"2930","0","0","0"
"2935","0","0","0"
"2937","0","0","0"
"2940","0","0","0"
"2943","0","0","0"
"2951","0","0","0"
"2953","1","1","1"
"2959","0","0","0"
"2966","0","0","0"
"2968","0","0","0"
"2970","0","0","0"
"2972","0","0","0"
"2974","0","0","0"
"2979","0","0","0"
"2980","0","0","0"
"2991","0","0","0"
"2995","0","0","0"
"3010","0","0","0"
"3011","0","0","0"
"3020","0","0","0"
"3024","0","0","0"
"3025","0","0","0"
"3029","0","0","0"
"3037","0","0","0"
"3045","0","0","0"
"3055","0","0","0"
"3060","0","0","0"
"3062","0","0","0"
"3067","0","0","0"
"3079","0","0","0"
"3081","0","0","0"
"3082","0","0","0"
"3095","0","0","0"
"3097","0","0","0"
"3099","0","0","0"
"3100","0","0","0"
"3105","0","0","0"
"3115","0","0","0"
"3118","0","0","0"
"3123","0","0","0"
"3126","0","0","0"
"3127","0","0","0"
"3132","0","0","0"
"3141","0","0","0"
"3145","0","0","0"
"3150","0","0","0"
"3159","0","0","0"
"3165","0","0","0"
"3174","0","0","0"
"3187","0","0","0"
"3193","0","0","0"
"3194","0","0","0"
"3196","0","0","0"
"3202","0","0","0"
"3204","0","0","0"
"3207","0","0","0"
"3208","0","0","0"
"3209","0","0","0"
"3216","0","0","0"
"3219","0","0","0"
"3222","0","0","0"
"3224","0","0","0"
"3230","0","0","0"
"3235","0","0","0"
"3251","0","0","0"
"3253","0","0","0"
"3255","0","0","0"
"3262","0","0","0"
"3268","0","0","0"
"3269","0","0","0"
"3283","0","0","0"
"3290","0","0","0"
"3298","0","0","0"
"3318","0","0","0"
"3324","0","0","0"
"3337","0","0","0"
"3340","0","0","0"
"3346","0","0","0"
"3347","0","0","0"
"3348","0","0","0"
"3358","0","0","0"
"3360","0","0","0"
"3364","0","0","0"
"3371","0","0","0"
"3374","0","0","0"
