episode,train_reward,win,roll_mean,roll_std,roll_win
483,-2.0,0,,,
484,2.0,0,,,
485,-1.0,0,,,
486,-1.0,0,,,
487,-2.0,0,,,
488,-1.0,0,,,
489,0.0,0,,,
490,-2.0,0,,,
491,2.0,0,,,
492,-2.0,0,,,
493,1.0,0,,,
494,-2.0,0,,,
495,-2.0,0,,,
496,-2.0,0,,,
497,1.0,0,,,
498,1.0,0,,,
499,0.0,0,,,
500,-2.0,0,,,
501,-1.0,0,,,
502,4.0,0,,,
503,-2.0,0,,,
504,-2.0,0,,,
505,-2.0,0,,,
506,-2.0,0,,,
507,-2.0,0,,,
508,-2.0,0,,,
509,4.0,0,,,
510,-2.0,0,,,
511,-2.0,0,,,
512,-2.0,0,,,
513,-2.0,0,,,
514,-2.0,0,,,
515,0.0,0,,,
516,0.0,0,,,
517,-2.0,0,,,
518,-2.0,0,,,
519,-2.0,0,,,
520,-2.0,0,,,
521,-2.0,0,,,
522,-2.0,0,,,
523,0.0,0,,,
524,-2.0,0,,,
525,-1.0,0,,,
526,-2.0,0,,,
527,0.0,0,,,
528,-2.0,0,,,
529,0.0,0,,,
530,-2.0,0,,,
531,-1.0,0,,,
532,2.0,0,,,
533,-2.0,0,,,
534,-1.0,0,,,
535,3.0,0,,,
536,2.0,0,,,
537,-1.0,0,,,
538,-2.0,0,,,
539,-2.0,0,,,
540,-2.0,0,,,
541,-2.0,0,,,
542,-1.0,0,,,
543,0.0,0,,,
544,-1.0,0,,,
545,-2.0,0,,,
546,1.0,0,,,
547,-2.0,0,,,
548,-2.0,0,,,
549,-1.0,0,,,
550,-2.0,0,,,
551,-1.0,0,,,
552,-1.0,0,,,
553,-2.0,0,,,
554,-1.0,0,,,
555,-2.0,0,,,
556,-1.0,0,,,
557,-2.0,0,,,
558,-2.0,0,,,
559,-2.0,0,,,
560,-2.0,0,,,
561,4.0,0,,,
562,-2.0,0,,,
563,1.0,0,,,
564,-2.0,0,,,
565,-1.0,0,,,
566,0.0,0,,,
567,-2.0,0,,,
568,-2.0,0,,,
569,-2.0,0,,,
570,-2.0,0,,,
571,1.0,0,,,
572,0.0,0,,,
573,-2.0,0,,,
574,-2.0,0,,,
575,4.0,0,,,
576,-2.0,0,,,
577,-1.0,0,,,
578,-1.0,0,,,
579,-2.0,0,,,
580,4.0,0,,,
581,-1.0,0,,,
582,-2.0,0,,,
583,-2.0,0,,,
584,-2.0,0,,,
585,-2.0,0,,,
586,-2.0,0,,,
587,-1.0,0,,,
588,-1.0,0,,,
589,-1.0,0,,,
590,-2.0,0,,,
591,-1.0,0,,,
592,-2.0,0,,,
593,-2.0,0,,,
594,-1.0,0,,,
595,-2.0,0,,,
596,0.0,0,,,
597,0.0,0,,,
598,0.0,0,,,
599,-2.0,0,,,
600,-2.0,0,,,
601,-2.0,0,,,
602,-2.0,0,,,
603,-2.0,0,,,
604,-2.0,0,,,
605,-2.0,0,,,
606,-2.0,0,,,
607,5.0,0,,,
608,-2.0,0,,,
609,-2.0,0,,,
610,-1.0,0,,,
611,4.0,0,,,
612,-2.0,0,,,
613,-2.0,0,,,
614,-1.0,0,,,
615,11.0,0,,,
616,2.0,0,,,
617,-2.0,0,,,
618,1.0,0,,,
619,7.0,0,,,
620,-2.0,0,,,
621,-2.0,0,,,
622,-1.0,0,,,
623,-1.0,0,,,
624,0.0,0,,,
625,-2.0,0,,,
626,0.0,0,,,
627,1.0,0,,,
628,-1.0,0,,,
629,0.0,0,,,
630,0.0,0,,,
631,0.0,0,,,
632,0.0,0,,,
633,-2.0,0,,,
634,0.0,0,,,
635,-2.0,0,,,
636,-1.0,0,,,
637,-1.0,0,,,
638,3.0,0,,,
639,1.0,0,,,
640,-1.0,0,,,
641,6.0,0,,,
642,-1.0,0,,,
643,-1.0,0,,,
644,-1.0,0,,,
645,-2.0,0,,,
646,-2.0,0,,,
647,-1.0,0,,,
648,-2.0,0,,,
649,-2.0,0,,,
650,1.0,0,,,
651,3.0,0,,,
652,-2.0,0,,,
653,-1.0,0,,,
654,-1.0,0,,,
655,-1.0,0,,,
656,0.0,0,,,
657,-2.0,0,,,
658,-1.0,0,,,
659,-2.0,0,,,
660,-2.0,0,,,
661,2.0,0,,,
662,1.0,0,,,
663,0.0,0,,,
664,-2.0,0,,,
665,-1.0,0,,,
666,-1.0,0,,,
667,2.0,0,,,
668,-1.0,0,,,
669,0.0,0,,,
