"Step","DQN_good_disc - total_reward","non_Det_DQN_discounted_run_1747653690 - total_reward__MIN","non_Det_DQN_discounted_run_1747653690 - total_reward__MAX"
"2535","1","1","1"
"2548","-2","-2","-2"
"2549","-2","-2","-2"
"2553","-2","-2","-2"
"2561","-2","-2","-2"
"2562","3","3","3"
"2564","-2","-2","-2"
"2567","-1","-1","-1"
"2572","-2","-2","-2"
"2574","0","0","0"
"2575","-1","-1","-1"
"2578","0","0","0"
"2579","-1","-1","-1"
"2592","-2","-2","-2"
"2599","1","1","1"
"2604","-2","-2","-2"
"2612","-2","-2","-2"
"2613","-1","-1","-1"
"2617","-1","-1","-1"
"2618","-2","-2","-2"
"2619","-2","-2","-2"
"2623","-2","-2","-2"
"2635","-2","-2","-2"
"2638","-1","-1","-1"
"2640","0","0","0"
"2644","-2","-2","-2"
"2647","-1","-1","-1"
"2657","-2","-2","-2"
"2660","2","2","2"
"2665","2","2","2"
"2670","-2","-2","-2"
"2674","17","17","17"
"2675","-1","-1","-1"
"2686","0","0","0"
"2689","-2","-2","-2"
"2695","-1","-1","-1"
"2697","1","1","1"
"2702","-2","-2","-2"
"2711","-1","-1","-1"
"2718","-2","-2","-2"
"2733","1","1","1"
"2739","-2","-2","-2"
"2740","0","0","0"
"2752","-1","-1","-1"
"2757","-2","-2","-2"
"2767","-1","-1","-1"
"2769","-2","-2","-2"
"2771","1","1","1"
"2775","2","2","2"
"2791","3","3","3"
"2807","-2","-2","-2"
"2816","1","1","1"
"2822","-2","-2","-2"
"2824","1","1","1"
"2839","-1","-1","-1"
"2850","0","0","0"
"2854","-1","-1","-1"
"2855","-2","-2","-2"
"2862","-2","-2","-2"
"2865","-2","-2","-2"
"2866","-2","-2","-2"
"2880","2","2","2"
"2885","-2","-2","-2"
"2886","-1","-1","-1"
"2887","-2","-2","-2"
"2892","0","0","0"
"2897","-1","-1","-1"
"2911","-2","-2","-2"
"2914","0","0","0"
"2920","-2","-2","-2"
"2932","4","4","4"
"2942","-1","-1","-1"
"2948","-2","-2","-2"
"2949","-2","-2","-2"
"2957","-2","-2","-2"
"2958","-2","-2","-2"
"2959","-2","-2","-2"
"2963","3","3","3"
"2966","3","3","3"
"2967","-2","-2","-2"
"2972","-2","-2","-2"
"2973","-2","-2","-2"
"2989","-1","-1","-1"
"3007","-2","-2","-2"
"3010","-2","-2","-2"
"3012","-2","-2","-2"
"3015","-2","-2","-2"
"3022","0","0","0"
"3026","1","1","1"
"3032","0","0","0"
"3034","-1","-1","-1"
"3043","-2","-2","-2"
"3045","-2","-2","-2"
"3053","-2","-2","-2"
"3056","-2","-2","-2"
"3057","2","2","2"
"3058","-2","-2","-2"
"3063","1","1","1"
"3065","-2","-2","-2"
"3068","-2","-2","-2"
"3069","1","1","1"
"3070","-1","-1","-1"
"3075","-2","-2","-2"
"3080","-1","-1","-1"
"3093","-2","-2","-2"
"3098","-2","-2","-2"
"3107","2","2","2"
"3108","1","1","1"
"3122","-2","-2","-2"
"3124","-2","-2","-2"
"3125","-1","-1","-1"
"3138","-1","-1","-1"
"3140","4","4","4"
"3145","-2","-2","-2"
"3149","-2","-2","-2"
"3153","1","1","1"
"3154","-1","-1","-1"
"3157","-2","-2","-2"
"3164","6","6","6"
"3167","1","1","1"
"3176","1","1","1"
"3177","-1","-1","-1"
"3186","-1","-1","-1"
"3192","-2","-2","-2"
"3198","1","1","1"
"3228","0","0","0"
"3230","2","2","2"
"3231","-2","-2","-2"
"3233","-1","-1","-1"
"3235","-1","-1","-1"
"3238","-1","-1","-1"
"3241","-2","-2","-2"
"3244","-2","-2","-2"
"3257","-2","-2","-2"
"3260","-2","-2","-2"
"3263","0","0","0"
"3265","0","0","0"
"3274","0","0","0"
"3283","-2","-2","-2"
"3289","-2","-2","-2"
"3305","-2","-2","-2"
"3306","0","0","0"
"3308","-2","-2","-2"
"3316","2","2","2"
"3323","1","1","1"
"3331","0","0","0"
"3333","-2","-2","-2"
"3338","-1","-1","-1"
"3339","-2","-2","-2"
"3346","-2","-2","-2"
"3347","-1","-1","-1"
"3352","0","0","0"
"3355","1","1","1"
"3357","2","2","2"
"3365","-1","-1","-1"
"3369","-2","-2","-2"
"3373","0","0","0"
"3377","-1","-1","-1"
"3380","-2","-2","-2"
"3382","0","0","0"
"3383","3","3","3"
"3389","-1","-1","-1"
"3393","-1","-1","-1"
"3395","-2","-2","-2"
"3396","0","0","0"
"3399","4","4","4"
"3400","0","0","0"
"3403","-2","-2","-2"
"3412","3","3","3"
"3414","-2","-2","-2"
"3417","-2","-2","-2"
"3419","-1","-1","-1"
"3423","3","3","3"
"3429","-2","-2","-2"
"3431","3","3","3"
"3433","-1","-1","-1"
"3434","0","0","0"
"3443","-2","-2","-2"
"3449","10","10","10"
"3452","-2","-2","-2"
"3456","-2","-2","-2"
"3460","0","0","0"
"3468","-2","-2","-2"
"3471","-2","-2","-2"
"3478","-2","-2","-2"
"3485","-1","-1","-1"
"3488","-2","-2","-2"
"3490","0","0","0"
"3491","2","2","2"
"3500","-2","-2","-2"
"3531","-1","-1","-1"
"3537","-2","-2","-2"
"3547","-1","-1","-1"
"3551","-2","-2","-2"
"3558","-1","-1","-1"
"3566","-2","-2","-2"
"3568","0","0","0"
"3570","-2","-2","-2"
"3572","-1","-1","-1"
"3573","1","1","1"
"3575","7","7","7"
"3584","-2","-2","-2"
"3591","-2","-2","-2"
"3598","-1","-1","-1"
"3603","-2","-2","-2"
"3605","-2","-2","-2"
"3616","-2","-2","-2"
"3624","-2","-2","-2"
"3630","-1","-1","-1"
"3633","-2","-2","-2"
"3635","-2","-2","-2"
"3641","17","17","17"
"3642","-2","-2","-2"
"3651","-2","-2","-2"
"3676","4","4","4"
"3681","-2","-2","-2"
"3682","0","0","0"
"3690","-1","-1","-1"
"3695","-2","-2","-2"
"3696","-1","-1","-1"
"3699","-2","-2","-2"
"3705","2","2","2"
"3713","0","0","0"
"3718","-1","-1","-1"
"3726","1","1","1"
"3729","-1","-1","-1"
"3730","-1","-1","-1"
"3733","0","0","0"
"3736","-2","-2","-2"
"3742","-1","-1","-1"
"3744","-1","-1","-1"
"3754","-2","-2","-2"
"3756","-1","-1","-1"
"3762","-2","-2","-2"
"3764","-2","-2","-2"
"3767","-1","-1","-1"
"3771","0","0","0"
"3775","-1","-1","-1"
"3776","-1","-1","-1"
"3778","-1","-1","-1"
"3781","-2","-2","-2"
"3788","0","0","0"
"3789","-2","-2","-2"
"3794","-2","-2","-2"
"3798","6","6","6"
"3806","1","1","1"
"3807","1","1","1"
"3808","3","3","3"
"3811","0","0","0"
"3814","-2","-2","-2"
"3817","-2","-2","-2"
"3820","4","4","4"
"3833","-1","-1","-1"
"3850","-1","-1","-1"
"3864","-2","-2","-2"
