"Step","DQN_good_disc - win","non_Det_DQN_discounted_run_1747653690 - win__MIN","non_Det_DQN_discounted_run_1747653690 - win__MAX"
"2227","0","0","0"
"2236","0","0","0"
"2238","0","0","0"
"2250","0","0","0"
"2257","0","0","0"
"2274","0","0","0"
"2277","0","0","0"
"2279","0","0","0"
"2280","0","0","0"
"2298","0","0","0"
"2300","0","0","0"
"2309","0","0","0"
"2316","0","0","0"
"2320","0","0","0"
"2339","0","0","0"
"2340","0","0","0"
"2345","0","0","0"
"2346","0","0","0"
"2358","0","0","0"
"2364","0","0","0"
"2367","0","0","0"
"2369","0","0","0"
"2374","0","0","0"
"2377","0","0","0"
"2391","0","0","0"
"2395","0","0","0"
"2407","0","0","0"
"2414","0","0","0"
"2416","0","0","0"
"2421","0","0","0"
"2430","0","0","0"
"2431","0","0","0"
"2432","0","0","0"
"2436","0","0","0"
"2445","0","0","0"
"2449","0","0","0"
"2452","0","0","0"
"2453","0","0","0"
"2454","0","0","0"
"2458","0","0","0"
"2462","0","0","0"
"2465","0","0","0"
"2468","0","0","0"
"2471","0","0","0"
"2475","0","0","0"
"2480","0","0","0"
"2485","0","0","0"
"2487","0","0","0"
"2506","0","0","0"
"2511","0","0","0"
"2515","0","0","0"
"2517","0","0","0"
"2520","0","0","0"
"2529","0","0","0"
"2534","0","0","0"
"2537","0","0","0"
"2538","0","0","0"
"2558","0","0","0"
"2578","0","0","0"
"2580","0","0","0"
"2591","0","0","0"
"2594","0","0","0"
"2601","0","0","0"
"2602","0","0","0"
"2603","0","0","0"
"2604","0","0","0"
"2609","0","0","0"
"2612","0","0","0"
"2614","0","0","0"
"2616","0","0","0"
"2624","0","0","0"
"2631","0","0","0"
"2632","0","0","0"
"2636","0","0","0"
"2637","0","0","0"
"2640","0","0","0"
"2644","0","0","0"
"2649","0","0","0"
"2650","0","0","0"
"2651","0","0","0"
"2656","0","0","0"
"2661","0","0","0"
"2663","0","0","0"
"2664","0","0","0"
"2669","0","0","0"
"2670","0","0","0"
"2672","0","0","0"
"2677","0","0","0"
"2685","0","0","0"
"2686","0","0","0"
"2687","0","0","0"
"2692","0","0","0"
"2693","0","0","0"
"2695","0","0","0"
"2697","0","0","0"
"2698","0","0","0"
"2701","0","0","0"
"2705","0","0","0"
"2711","0","0","0"
"2715","0","0","0"
"2720","0","0","0"
"2724","0","0","0"
"2740","0","0","0"
"2742","0","0","0"
"2743","0","0","0"
"2747","0","0","0"
"2754","0","0","0"
"2756","0","0","0"
"2763","0","0","0"
"2769","0","0","0"
"2778","0","0","0"
"2787","0","0","0"
"2804","0","0","0"
"2805","0","0","0"
"2812","0","0","0"
"2817","0","0","0"
"2820","0","0","0"
"2821","0","0","0"
"2825","0","0","0"
"2826","0","0","0"
"2827","0","0","0"
"2828","0","0","0"
"2834","0","0","0"
"2835","0","0","0"
"2836","0","0","0"
"2839","0","0","0"
"2844","0","0","0"
"2847","0","0","0"
"2848","0","0","0"
"2856","0","0","0"
"2863","0","0","0"
"2864","0","0","0"
"2866","0","0","0"
"2873","0","0","0"
"2878","0","0","0"
"2882","0","0","0"
"2894","0","0","0"
"2898","0","0","0"
"2900","0","0","0"
"2910","0","0","0"
"2918","0","0","0"
"2921","0","0","0"
"2922","0","0","0"
"2926","0","0","0"
"2937","0","0","0"
"2942","0","0","0"
"2949","0","0","0"
"2954","0","0","0"
"2959","0","0","0"
"2961","0","0","0"
"2968","0","0","0"
"2978","0","0","0"
"2988","0","0","0"
"2995","0","0","0"
"2999","0","0","0"
"3005","0","0","0"
"3008","0","0","0"
"3016","0","0","0"
"3017","0","0","0"
"3019","0","0","0"
"3021","0","0","0"
"3027","0","0","0"
"3028","0","0","0"
"3037","0","0","0"
"3040","0","0","0"
"3047","0","0","0"
"3053","0","0","0"
"3056","0","0","0"
"3058","0","0","0"
"3065","0","0","0"
"3067","0","0","0"
"3070","0","0","0"
"3074","0","0","0"
"3078","0","0","0"
"3084","0","0","0"
"3085","0","0","0"
"3089","0","0","0"
"3090","0","0","0"
"3095","0","0","0"
"3099","0","0","0"
"3100","0","0","0"
"3103","0","0","0"
"3119","0","0","0"
"3122","0","0","0"
"3123","0","0","0"
"3124","0","0","0"
"3139","0","0","0"
"3144","0","0","0"
"3145","0","0","0"
"3149","0","0","0"
"3164","0","0","0"
"3165","0","0","0"
"3167","0","0","0"
"3172","0","0","0"
"3182","0","0","0"
"3184","0","0","0"
"3188","0","0","0"
"3191","0","0","0"
"3192","0","0","0"
"3195","0","0","0"
"3206","0","0","0"
"3215","0","0","0"
"3216","0","0","0"
"3232","0","0","0"
"3238","0","0","0"
"3246","0","0","0"
"3252","0","0","0"
"3254","0","0","0"
"3255","0","0","0"
"3258","0","0","0"
"3261","0","0","0"
"3263","0","0","0"
"3271","0","0","0"
"3278","0","0","0"
"3292","0","0","0"
"3308","0","0","0"
"3310","0","0","0"
"3321","0","0","0"
"3323","0","0","0"
"3325","0","0","0"
"3327","0","0","0"
"3332","0","0","0"
"3337","0","0","0"
"3343","0","0","0"
"3344","0","0","0"
"3346","0","0","0"
"3352","0","0","0"
"3355","0","0","0"
"3362","0","0","0"
"3365","0","0","0"
"3373","0","0","0"
"3379","0","0","0"
"3380","0","0","0"
"3381","0","0","0"
"3395","0","0","0"
"3396","0","0","0"
"3397","0","0","0"
"3398","0","0","0"
"3408","0","0","0"
"3413","0","0","0"
"3416","0","0","0"
"3426","0","0","0"
"3427","0","0","0"
"3430","0","0","0"
"3437","0","0","0"
"3438","0","0","0"
"3453","0","0","0"
"3455","0","0","0"
"3463","0","0","0"
"3464","0","0","0"
"3465","0","0","0"
"3468","0","0","0"
"3470","0","0","0"
"3471","0","0","0"
"3474","0","0","0"
"3481","0","0","0"
"3485","0","0","0"
"3489","0","0","0"
"3493","0","0","0"
"3497","0","0","0"
"3502","0","0","0"
"3504","0","0","0"
"3505","0","0","0"
"3525","0","0","0"
"3533","0","0","0"
"3544","0","0","0"
"3554","0","0","0"
"3555","0","0","0"
"3560","0","0","0"
"3567","0","0","0"
"3585","0","0","0"
"3591","0","0","0"
"3596","0","0","0"
"3600","0","0","0"
"3611","0","0","0"
"3613","0","0","0"
"3626","0","0","0"
"3628","0","0","0"
"3630","0","0","0"
"3660","0","0","0"
"3666","0","0","0"
"3674","0","0","0"
"3677","0","0","0"
"3684","0","0","0"
"3688","0","0","0"
"3689","0","0","0"
"3693","0","0","0"
"3698","0","0","0"
"3702","0","0","0"
"3704","0","0","0"
"3707","0","0","0"
"3712","0","0","0"
"3715","0","0","0"
"3718","0","0","0"
"3723","0","0","0"
"3729","0","0","0"
"3733","0","0","0"
"3740","0","0","0"
"3742","0","0","0"
"3751","0","0","0"
"3771","0","0","0"
"3779","0","0","0"
"3780","0","0","0"
"3783","0","0","0"
"3784","0","0","0"
"3791","0","0","0"
"3803","0","0","0"
"3806","0","0","0"
"3807","0","0","0"
"3814","0","0","0"
"3816","0","0","0"
"3817","0","0","0"
"3820","0","0","0"
"3825","0","0","0"
"3827","0","0","0"
"3828","0","0","0"
"3837","0","0","0"
"3841","0","0","0"
"3842","0","0","0"
"3849","0","0","0"
"3852","0","0","0"
"3858","0","0","0"
"3866","0","0","0"
"3872","0","0","0"
"3878","0","0","0"
"3880","0","0","0"
"3899","0","0","0"
"3901","0","0","0"
"3903","0","0","0"
"3910","0","0","0"
"3915","0","0","0"
"3920","0","0","0"
"3921","0","0","0"
"3922","0","0","0"
"3925","0","0","0"
"3932","0","0","0"
"3933","0","0","0"
"3934","0","0","0"
"3940","0","0","0"
"3942","0","0","0"
"3946","0","0","0"
"3949","0","0","0"
"3956","0","0","0"
"3958","0","0","0"
"3959","0","0","0"
"3960","0","0","0"
"3970","0","0","0"
"3974","0","0","0"
"3980","0","0","0"
"3988","0","0","0"
"3993","0","0","0"
"3995","0","0","0"
"4000","0","0","0"
"4001","0","0","0"
"4004","0","0","0"
"4007","0","0","0"
"4008","0","0","0"
"4017","0","0","0"
"4020","0","0","0"
"4021","0","0","0"
"4024","0","0","0"
"4030","0","0","0"
"4037","0","0","0"
"4040","0","0","0"
"4042","0","0","0"
"4051","0","0","0"
"4055","0","0","0"
"4058","0","0","0"
"4060","0","0","0"
"4071","0","0","0"
"4078","0","0","0"
"4082","0","0","0"
"4083","0","0","0"
"4090","0","0","0"
"4094","0","0","0"
"4096","0","0","0"
"4099","0","0","0"
"4103","0","0","0"
"4109","0","0","0"
"4111","0","0","0"
"4112","0","0","0"
"4123","0","0","0"
"4130","0","0","0"
"4132","0","0","0"
"4153","0","0","0"
"4157","0","0","0"
"4163","0","0","0"
"4167","0","0","0"
"4168","0","0","0"
"4169","0","0","0"
"4180","0","0","0"
"4187","0","0","0"
"4188","0","0","0"
"4189","0","0","0"
"4192","0","0","0"
"4196","0","0","0"
"4205","0","0","0"
"4215","0","0","0"
"4217","0","0","0"
"4220","0","0","0"
"4223","0","0","0"
"4224","0","0","0"
"4226","0","0","0"
"4228","0","0","0"
"4232","0","0","0"
"4235","0","0","0"
"4242","0","0","0"
"4250","0","0","0"
"4251","0","0","0"
"4257","0","0","0"
"4266","0","0","0"
"4268","0","0","0"
"4282","0","0","0"
"4286","0","0","0"
"4289","0","0","0"
"4306","0","0","0"
"4314","0","0","0"
"4316","0","0","0"
"4321","0","0","0"
"4323","0","0","0"
"4325","0","0","0"
"4339","0","0","0"
"4344","0","0","0"
"4346","0","0","0"
"4347","0","0","0"
"4353","0","0","0"
"4356","0","0","0"
"4367","0","0","0"
"4370","0","0","0"
"4377","0","0","0"
"4379","0","0","0"
"4380","0","0","0"
"4382","0","0","0"
"4387","0","0","0"
"4388","0","0","0"
"4395","0","0","0"
"4397","0","0","0"
"4398","0","0","0"
"4407","0","0","0"
"4409","0","0","0"
"4415","0","0","0"
"4416","0","0","0"
"4417","0","0","0"
"4420","0","0","0"
"4421","0","0","0"
"4424","0","0","0"
"4428","0","0","0"
"4433","0","0","0"
"4435","0","0","0"
"4438","0","0","0"
"4440","0","0","0"
"4446","0","0","0"
"4448","0","0","0"
"4449","0","0","0"
"4450","0","0","0"
"4452","0","0","0"
"4457","0","0","0"
"4465","0","0","0"
"4466","0","0","0"
"4467","0","0","0"
"4471","0","0","0"
"4473","0","0","0"
"4478","0","0","0"
"4484","0","0","0"
"4487","0","0","0"
"4492","0","0","0"
"4494","0","0","0"
"4497","0","0","0"
"4500","0","0","0"
"4502","0","0","0"
"4503","0","0","0"
"4508","0","0","0"
"4524","0","0","0"
"4527","0","0","0"
"4528","0","0","0"
"4542","0","0","0"
"4551","0","0","0"
"4552","0","0","0"
"4553","0","0","0"
"4554","0","0","0"
"4555","0","0","0"
"4558","0","0","0"
"4564","0","0","0"
"4570","0","0","0"
"4571","0","0","0"
"4577","0","0","0"
"4584","0","0","0"
"4587","0","0","0"
"4589","0","0","0"
"4590","0","0","0"
"4600","0","0","0"
"4601","0","0","0"
"4604","0","0","0"
"4610","0","0","0"
"4613","0","0","0"
"4614","0","0","0"
"4619","0","0","0"
"4624","0","0","0"
"4644","0","0","0"
"4645","0","0","0"
"4647","0","0","0"
"4650","0","0","0"
"4656","0","0","0"
"4661","0","0","0"
"4665","0","0","0"
"4666","0","0","0"
"4667","0","0","0"
"4668","0","0","0"
"4669","0","0","0"
"4677","0","0","0"
"4680","0","0","0"
"4681","0","0","0"
"4682","0","0","0"
"4684","0","0","0"
"4688","0","0","0"
"4691","0","0","0"
"4698","0","0","0"
"4707","0","0","0"
"4708","0","0","0"
"4709","0","0","0"
"4712","0","0","0"
"4713","0","0","0"
"4715","0","0","0"
"4716","0","0","0"
"4719","0","0","0"
"4720","0","0","0"
"4726","0","0","0"
"4730","0","0","0"
"4737","0","0","0"
"4740","0","0","0"
"4750","0","0","0"
"4752","0","0","0"
"4758","0","0","0"
"4760","0","0","0"
"4764","0","0","0"
"4770","0","0","0"
"4774","0","0","0"
"4775","0","0","0"
"4780","0","0","0"
"4784","0","0","0"
"4786","0","0","0"
"4789","0","0","0"
"4791","0","0","0"
"4793","0","0","0"
"4794","1","1","1"
"4797","0","0","0"
"4801","0","0","0"
"4810","0","0","0"
"4811","0","0","0"
"4812","0","0","0"
"4814","0","0","0"
"4822","0","0","0"
"4823","0","0","0"
"4824","0","0","0"
"4836","0","0","0"
"4837","0","0","0"
"4841","0","0","0"
"4859","0","0","0"
"4867","0","0","0"
"4870","0","0","0"
"4884","0","0","0"
"4893","0","0","0"
"4903","0","0","0"
"4906","0","0","0"
"4919","0","0","0"
"4922","0","0","0"
"4930","0","0","0"
"4934","0","0","0"
"4936","0","0","0"
"4937","0","0","0"
"4938","0","0","0"
"4943","0","0","0"
"4944","0","0","0"
"4946","0","0","0"
"4947","0","0","0"
