"Step","DDQN_run_1747573335 - total_reward","DDQN_run_1747573335 - total_reward__MIN","DDQN_run_1747573335 - total_reward__MAX"
"3230","-3","-3","-3"
"3241","3","3","3"
"3245","-1","-1","-1"
"3246","0","0","0"
"3247","6","6","6"
"3249","0","0","0"
"3250","0","0","0"
"3251","-2","-2","-2"
"3256","0","0","0"
"3257","1","1","1"
"3271","0","0","0"
"3275","-3","-3","-3"
"3277","5","5","5"
"3280","0","0","0"
"3282","-2","-2","-2"
"3285","0","0","0"
"3288","0","0","0"
"3289","-3","-3","-3"
"3295","-2","-2","-2"
"3307","-1","-1","-1"
"3330","-1","-1","-1"
"3337","0","0","0"
"3338","-1","-1","-1"
"3340","-1","-1","-1"
"3345","-1","-1","-1"
"3346","-3","-3","-3"
"3350","0","0","0"
"3353","0","0","0"
"3356","-2","-2","-2"
"3358","2","2","2"
"3360","-2","-2","-2"
"3367","-2","-2","-2"
"3375","2","2","2"
"3378","-2","-2","-2"
"3383","1","1","1"
"3385","0","0","0"
"3386","-3","-3","-3"
"3394","0","0","0"
"3395","4","4","4"
"3400","-2","-2","-2"
"3408","1","1","1"
"3411","-1","-1","-1"
"3412","-3","-3","-3"
"3413","-2","-2","-2"
"3420","4","4","4"
"3430","1","1","1"
"3442","-1","-1","-1"
"3444","-3","-3","-3"
"3449","5","5","5"
"3450","-3","-3","-3"
"3455","1","1","1"
"3458","-1","-1","-1"
"3465","-3","-3","-3"
"3469","-3","-3","-3"
"3471","-2","-2","-2"
"3478","-3","-3","-3"
"3480","-1","-1","-1"
"3483","-1","-1","-1"
"3487","-3","-3","-3"
"3488","-2","-2","-2"
"3492","-1","-1","-1"
"3495","-2","-2","-2"
"3503","-2","-2","-2"
"3510","-2","-2","-2"
"3513","-3","-3","-3"
"3514","-2","-2","-2"
"3519","3","3","3"
"3520","0","0","0"
"3523","0","0","0"
"3524","-1","-1","-1"
"3526","-3","-3","-3"
"3528","-3","-3","-3"
"3532","-1","-1","-1"
"3533","3","3","3"
"3535","0","0","0"
"3536","-3","-3","-3"
"3545","0","0","0"
"3546","-1","-1","-1"
"3548","-3","-3","-3"
"3554","1","1","1"
"3556","-2","-2","-2"
"3567","6","6","6"
"3568","2","2","2"
"3574","-2","-2","-2"
"3575","-2","-2","-2"
"3579","-1","-1","-1"
"3581","-2","-2","-2"
"3588","0","0","0"
"3590","2","2","2"
"3592","0","0","0"
"3593","-1","-1","-1"
"3595","2","2","2"
"3598","-2","-2","-2"
"3611","3","3","3"
"3619","-2","-2","-2"
"3620","2","2","2"
"3621","-1","-1","-1"
"3634","-1","-1","-1"
"3638","4","4","4"
"3643","-3","-3","-3"
"3644","-3","-3","-3"
"3648","-1","-1","-1"
"3649","1","1","1"
"3656","-1","-1","-1"
"3659","1","1","1"
"3667","-2","-2","-2"
"3675","-2","-2","-2"
"3680","-2","-2","-2"
"3681","0","0","0"
"3682","-1","-1","-1"
"3684","1","1","1"
"3686","-1","-1","-1"
"3695","0","0","0"
"3696","-2","-2","-2"
"3697","1","1","1"
"3698","-2","-2","-2"
"3704","-3","-3","-3"
"3710","2","2","2"
"3711","2","2","2"
"3725","-2","-2","-2"
"3727","-2","-2","-2"
"3736","-1","-1","-1"
"3738","-1","-1","-1"
"3740","-1","-1","-1"
"3752","5","5","5"
"3754","-1","-1","-1"
"3758","10","10","10"
"3762","-3","-3","-3"
"3765","11","11","11"
"3772","-1","-1","-1"
"3774","-1","-1","-1"
"3776","5","5","5"
